messages,voted
 Civic Duty,0
 Control,1
 Control,1
 Control,1
 Control,0
 Hawthorne,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Control,1
 Control,0
 Control,1
 Control,0
 Control,1
 Control,0
 Neighbors,0
 Neighbors,1
 Control,1
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Self,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Hawthorne,0
 Hawthorne,1
 Self,1
 Self,0
 Civic Duty,1
 Civic Duty,0
 Control,0
 Civic Duty,1
 Civic Duty,0
 Civic Duty,1
 Neighbors,1
 Control,1
 Control,1
 Control,0
 Control,0
 Control,1
 Hawthorne,1
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Hawthorne,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Self,0
 Self,0
 Control,0
 Control,0
 Civic Duty,1
 Control,0
 Self,0
 Self,1
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,1
 Neighbors,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Hawthorne,0
 Hawthorne,0
 Civic Duty,0
 Civic Duty,1
 Control,1
 Control,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Neighbors,1
 Neighbors,1
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Self,0
 Self,0
 Self,0
 Control,1
 Control,1
 Control,1
 Control,1
 Control,1
 Hawthorne,0
 Hawthorne,0
 Self,1
 Self,1
 Neighbors,0
 Neighbors,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Civic Duty,0
 Self,0
 Self,0
 Hawthorne,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Neighbors,0
 Neighbors,0
 Control,1
 Control,1
 Control,1
 Neighbors,0
 Neighbors,1
 Neighbors,1
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Self,1
 Self,1
 Civic Duty,0
 Self,1
 Self,1
 Neighbors,0
 Control,0
 Control,0
 Hawthorne,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,1
 Control,1
 Control,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Self,1
 Self,1
 Control,0
 Control,1
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Neighbors,1
 Neighbors,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,1
 Control,1
 Control,0
 Civic Duty,1
 Civic Duty,1
 Civic Duty,1
 Civic Duty,1
 Neighbors,0
 Neighbors,0
 Hawthorne,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,1
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Civic Duty,1
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Neighbors,1
 Neighbors,0
 Control,0
 Control,0
 Self,0
 Self,0
 Control,0
 Control,1
 Control,1
 Control,1
 Hawthorne,1
 Hawthorne,1
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,0
 Control,0
 Self,0
 Self,0
 Control,1
 Control,1
 Self,0
 Control,1
 Control,1
 Control,0
 Control,1
 Civic Duty,1
 Civic Duty,1
 Hawthorne,1
 Control,1
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Neighbors,0
 Neighbors,1
 Self,0
 Self,0
 Control,0
 Control,0
 Control,0
 Hawthorne,1
 Hawthorne,0
 Civic Duty,0
 Civic Duty,0
 Neighbors,1
 Control,1
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Hawthorne,1
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Neighbors,1
 Self,1
 Self,1
 Control,0
 Control,1
 Hawthorne,1
 Hawthorne,1
 Control,0
 Control,1
 Control,1
 Control,1
 Self,1
 Self,1
 Control,0
 Control,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Civic Duty,0
 Control,1
 Self,1
 Hawthorne,0
 Hawthorne,1
 Hawthorne,1
 Hawthorne,1
 Self,0
 Self,0
 Hawthorne,1
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Neighbors,1
 Neighbors,1
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,1
 Civic Duty,0
 Civic Duty,1
 Civic Duty,1
 Control,0
 Control,1
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Control,1
 Control,0
 Neighbors,0
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,1
 Control,0
 Control,1
 Control,1
 Control,1
 Neighbors,1
 Self,0
 Self,0
 Self,0
 Civic Duty,1
 Civic Duty,1
 Self,1
 Self,1
 Self,1
 Control,1
 Control,0
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,1
 Hawthorne,0
 Hawthorne,0
 Self,0
 Self,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Self,0
 Self,0
 Self,1
 Self,0
 Control,0
 Control,0
 Control,1
 Control,1
 Neighbors,0
 Civic Duty,1
 Civic Duty,1
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Hawthorne,1
 Hawthorne,1
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Control,1
 Control,0
 Self,1
 Self,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,1
 Control,0
 Control,1
 Control,1
 Control,1
 Neighbors,1
 Neighbors,1
 Hawthorne,1
 Neighbors,1
 Neighbors,0
 Control,0
 Control,0
 Self,1
 Self,1
 Self,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Neighbors,1
 Neighbors,1
 Control,1
 Hawthorne,1
 Hawthorne,1
 Civic Duty,0
 Control,0
 Control,0
 Control,1
 Control,0
 Self,0
 Neighbors,1
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Hawthorne,1
 Hawthorne,1
 Hawthorne,1
 Hawthorne,1
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Self,1
 Control,1
 Neighbors,1
 Control,0
 Control,0
 Neighbors,1
 Neighbors,1
 Control,1
 Control,1
 Control,0
 Control,0
 Civic Duty,0
 Self,1
 Self,1
 Control,0
 Control,0
 Control,0
 Hawthorne,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Civic Duty,1
 Civic Duty,1
 Hawthorne,1
 Hawthorne,1
 Control,0
 Control,1
 Control,0
 Control,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,1
 Neighbors,0
 Control,0
 Self,1
 Self,1
 Control,0
 Control,0
 Self,1
 Self,1
 Control,1
 Control,1
 Control,0
 Control,1
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Neighbors,0
 Neighbors,0
 Control,1
 Control,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Control,1
 Self,1
 Self,1
 Control,0
 Self,1
 Self,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,1
 Hawthorne,0
 Hawthorne,0
 Neighbors,1
 Neighbors,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Self,1
 Self,0
 Control,1
 Control,0
 Control,0
 Self,0
 Self,1
 Control,1
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Civic Duty,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Neighbors,1
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,1
 Control,0
 Neighbors,0
 Neighbors,0
 Civic Duty,0
 Civic Duty,0
 Hawthorne,0
 Hawthorne,1
 Self,1
 Self,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,1
 Civic Duty,0
 Self,0
 Self,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Hawthorne,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,1
 Hawthorne,1
 Neighbors,1
 Neighbors,1
 Control,0
 Control,1
 Civic Duty,0
 Self,1
 Self,1
 Neighbors,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Self,0
 Self,0
 Self,1
 Self,0
 Hawthorne,0
 Control,0
 Control,0
 Self,0
 Control,0
 Control,1
 Hawthorne,0
 Hawthorne,0
 Control,1
 Neighbors,1
 Control,1
 Control,0
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Self,0
 Hawthorne,1
 Control,1
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Civic Duty,1
 Civic Duty,1
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Control,1
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,0
 Control,0
 Control,0
 Control,1
 Civic Duty,1
 Hawthorne,0
 Hawthorne,1
 Neighbors,0
 Control,0
 Control,1
 Self,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Neighbors,0
 Neighbors,1
 Hawthorne,1
 Control,1
 Control,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Neighbors,0
 Neighbors,0
 Civic Duty,1
 Civic Duty,1
 Hawthorne,1
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Control,1
 Control,0
 Self,1
 Self,1
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Self,1
 Self,1
 Civic Duty,0
 Civic Duty,0
 Self,1
 Self,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Control,0
 Control,1
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Control,1
 Neighbors,1
 Hawthorne,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,1
 Neighbors,0
 Neighbors,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Civic Duty,1
 Control,0
 Control,1
 Control,1
 Control,1
 Control,1
 Control,1
 Control,1
 Control,1
 Control,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Control,1
 Control,1
 Control,0
 Civic Duty,0
 Civic Duty,1
 Self,0
 Self,0
 Control,0
 Control,0
 Control,0
 Hawthorne,1
 Self,1
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Control,0
 Control,1
 Control,1
 Self,0
 Self,1
 Self,0
 Control,1
 Control,1
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,1
 Control,0
 Self,0
 Self,0
 Civic Duty,1
 Civic Duty,1
 Hawthorne,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Control,1
 Control,0
 Neighbors,1
 Neighbors,0
 Civic Duty,1
 Civic Duty,0
 Hawthorne,1
 Hawthorne,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Neighbors,0
 Neighbors,0
 Control,0
 Control,1
 Self,1
 Self,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Self,0
 Self,0
 Control,0
 Control,0
 Civic Duty,1
 Civic Duty,1
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Hawthorne,1
 Hawthorne,1
 Self,0
 Self,0
 Control,0
 Control,0
 Self,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Neighbors,0
 Neighbors,0
 Hawthorne,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Neighbors,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,1
 Self,1
 Neighbors,0
 Neighbors,1
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,1
 Civic Duty,0
 Civic Duty,1
 Civic Duty,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,1
 Self,0
 Control,0
 Civic Duty,0
 Hawthorne,1
 Neighbors,1
 Neighbors,0
 Neighbors,1
 Neighbors,1
 Neighbors,1
 Neighbors,0
 Self,0
 Self,1
 Self,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,1
 Self,1
 Civic Duty,1
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Hawthorne,1
 Hawthorne,0
 Control,0
 Control,0
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,0
 Control,0
 Control,1
 Control,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,1
 Hawthorne,0
 Control,0
 Control,1
 Control,0
 Civic Duty,0
 Control,1
 Control,1
 Self,1
 Self,1
 Neighbors,0
 Neighbors,0
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,0
 Self,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Control,1
 Control,0
 Control,0
 Control,1
 Control,1
 Hawthorne,0
 Hawthorne,0
 Neighbors,0
 Control,1
 Control,1
 Control,0
 Control,0
 Civic Duty,1
 Civic Duty,0
 Civic Duty,0
 Neighbors,1
 Self,1
 Neighbors,0
 Control,1
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Self,1
 Hawthorne,1
 Hawthorne,1
 Hawthorne,1
 Hawthorne,1
 Neighbors,1
 Control,1
 Control,1
 Control,0
 Control,0
 Self,0
 Self,1
 Self,1
 Self,1
 Neighbors,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Civic Duty,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,1
 Self,1
 Self,1
 Neighbors,1
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Hawthorne,1
 Control,0
 Self,1
 Self,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,1
 Self,1
 Self,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Neighbors,0
 Hawthorne,0
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,1
 Self,0
 Self,1
 Control,1
 Control,0
 Neighbors,0
 Hawthorne,1
 Hawthorne,1
 Self,0
 Civic Duty,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Neighbors,1
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Civic Duty,0
 Control,0
 Neighbors,0
 Control,0
 Self,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,1
 Self,0
 Self,0
 Self,1
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Self,0
 Self,1
 Control,0
 Control,0
 Self,0
 Self,0
 Hawthorne,0
 Hawthorne,0
 Neighbors,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,0
 Civic Duty,0
 Civic Duty,0
 Neighbors,0
 Neighbors,0
 Hawthorne,0
 Hawthorne,1
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,1
 Neighbors,1
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,0
 Control,1
 Control,0
 Control,0
 Control,1
 Self,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Self,0
 Civic Duty,0
 Self,1
 Self,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Hawthorne,0
 Control,0
 Control,0
 Neighbors,1
 Neighbors,1
 Control,0
 Control,0
 Control,0
 Self,1
 Control,0
 Neighbors,0
 Neighbors,1
 Neighbors,1
 Neighbors,0
 Control,0
 Control,1
 Control,0
 Control,0
 Self,1
 Self,0
 Hawthorne,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Civic Duty,1
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Neighbors,1
 Control,0
 Control,0
 Hawthorne,0
 Control,0
 Self,1
 Self,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Neighbors,1
 Neighbors,1
 Neighbors,0
 Self,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Control,1
 Control,1
 Civic Duty,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,0
 Control,1
 Control,0
 Hawthorne,1
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Self,0
 Self,0
 Neighbors,0
 Neighbors,0
 Neighbors,0
 Neighbors,0
 Hawthorne,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,1
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Civic Duty,0
 Control,1
 Control,1
 Control,1
 Control,0
 Civic Duty,1
 Civic Duty,1
 Civic Duty,1
 Control,0
 Control,0
 Control,1
 Control,1
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Self,0
 Self,0
 Self,1
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,0
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,1
 Hawthorne,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Civic Duty,1
 Self,0
 Self,0
 Control,0
 Control,0
 Self,0
 Control,0
 Control,0
 Control,0
 Neighbors,1
 Neighbors,1
 Neighbors,1
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,1
 Neighbors,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,1
 Control,0
 Control,0
 Control,0
 Control,1
 Hawthorne,1
 Control,0
 Civic Duty,0
 Civic Duty,0
 Self,0
 Control,1
 Control,1
 Control,1
 Control,0
 Civic Duty,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Self,0
 Self,0
 Self,0
 Self,0
 Control,0
 Control,0
 Control,0
 Control,1
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,1
 Civic Duty,0
 Civic Duty,0
 Neighbors,1
 Neighbors,0
 Civic Duty,1
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,1
 Self,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Neighbors,1
 Neighbors,1
 Neighbors,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Self,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Neighbors,0
 Control,1
 Control,0
 Self,1
 Self,0
 Control,1
 Hawthorne,1
 Self,0
 Self,0
 Control,0
 Control,0
 Control,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Civic Duty,0
 Civic Duty,0
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Self,0
 Self,0
 Civic Duty,1
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,1
 Control,0
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Self,1
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Civic Duty,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,0
 Self,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,1
 Neighbors,1
 Control,1
 Self,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,1
 Control,1
 Self,0
 Self,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,0
 Self,0
 Neighbors,0
 Civic Duty,0
 Civic Duty,0
 Civic Duty,0
 Civic Duty,0
 Control,1
 Control,1
 Hawthorne,1
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,1
 Control,0
 Self,0
 Self,0
 Neighbors,0
 Neighbors,0
 Self,0
 Self,0
 Self,1
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,1
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Neighbors,0
 Neighbors,1
 Neighbors,1
 Civic Duty,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,1
 Neighbors,0
 Neighbors,1
 Control,0
 Control,0
 Control,1
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Neighbors,0
 Neighbors,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Self,1
 Self,1
 Self,0
 Self,0
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Civic Duty,1
 Civic Duty,0
 Control,1
 Control,1
 Neighbors,0
 Control,0
 Control,1
 Control,0
 Self,0
 Self,0
 Self,0
 Control,0
 Control,0
 Control,1
 Civic Duty,0
 Civic Duty,1
 Civic Duty,0
 Civic Duty,0
 Self,1
 Self,1
 Self,1
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Hawthorne,0
 Control,0
 Control,1
 Control,1
 Neighbors,0
 Neighbors,1
 Hawthorne,1
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Civic Duty,0
 Neighbors,0
 Neighbors,0
 Hawthorne,0
 Hawthorne,1
 Hawthorne,0
 Self,0
 Self,0
 Civic Duty,0
 Control,1
 Control,0
 Control,1
 Control,0
 Control,1
 Control,1
 Self,0
 Self,0
 Control,0
 Control,0
 Control,0
 Control,0
 Hawthorne,0
 Hawthorne,1
 Control,0
 Control,0
 Control,0
 Civic Duty,0
 Civic Duty,0
 Self,0
 Self,0
 Self,0
 Self,0
 Civic Duty,0
 Civic Duty,0
 Control,0
 Control,0
 Control,0
 Control,0
 Control,1
 Control,1
 Control,0
 Control,0
 Control,0
 Control,0
 Neighbors,1
 Neighbors,1
 Neighbors,0
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,0
 Control,0
 Neighbors,1
 Hawthorne,0
 Hawthorne,0
 Control,0
 Control,1
 Control,0
 Control,1
 Neighbors,0
 Control,0
 Control,0
 Control,0
 Self,0
 Control,0
 Control,0
